System Key,Control ID,GRC Key,Control Title,Control Description,Owner,Frequency,Risk ID,Status,Tested,Last Reviewed,Source Modified,Issue ID,Issue Status
IA-canon-cm-02,ITGC-CM-02,,Hardening baselines for servers that host the core,Servers that host the core and its database are built from a documented hardening baseline. Deviations are tracked as exceptions with an expiration date and compensating control.,Tom Alvarez,Quarterly,RISK-CHG-01; RISK-VUL-01,active,Y,2026-02-14,2026-02-14,,
IA-canon-cm-03,ITGC-CM-03,,Baseline inventory of in-scope SOX applications,"The SOX PMO maintains an inventory of in-scope applications, data flows, and owners. Additions and retirements are approved in the quarterly scoping meeting.",David Chen,Quarterly,RISK-CHG-01,active,Y,2026-04-01,2026-04-01,,
IA-canon-cp-01,ITGC-CP-01,,Contingency plan for core deposit processing,"The bank maintains a documented contingency plan covering core deposit processing, ATM/debit authorization, and FedLine. Recovery time for deposit posting is 4 hours; recovery point is the last successful batch.",Sofia Rahman,Annual,RISK-BCP-01,active,Y,2026-01-30,2026-01-30,,
IA-canon-cp-02,ITGC-CP-02,,Annual disaster-recovery test of core processing,"IT Operations and Business Continuity run an annual disaster-recovery test that fails the core to the alternate site, posts a sample deposit file, and records actual recovery time against the 4-hour objective. Exceptions are logged as issues.",Sofia Rahman,Annual,RISK-BCP-01,active,Y,2024-05-01,2024-05-12,,
IA-canon-cp-03,ITGC-CP-03,,Nightly backup of core and general ledger,"Nightly backups of the core database and the general ledger are completed, verified by a restore-sample monthly, and stored offsite. Failed backups page IT Operations before 7 a.m.",Marcus Hale,Daily,RISK-OPS-01,active,Y,2026-04-05,2026-04-05,,
IA-canon-pe-01,ITGC-PE-01,,Computer-room badge access and visitor log,The computer room is restricted by badge. Access lists are recertified quarterly by Facilities and IT Operations. Visitors are escorted and logged. Terminated employees' badges are collected the last day.,James Whitaker,Quarterly,RISK-PHY-01,active,Y,2026-03-05,2026-03-05,,
IA-canon-si-01,ITGC-SI-01,,Malware and IDS alerting on bank workstations and servers,Endpoint malware protection and network IDS cover all bank workstations and servers. Alerts are triaged by Information Security within four hours during business days.,Hannah Briggs,Continuous,RISK-VUL-01,withdrawn,N,2025-11-02,2026-01-15,,
IA-canon-ra-01,ITGC-RA-01,,Quarterly vulnerability scanning of in-scope infrastructure,In-scope servers and network devices are scanned at least quarterly. Critical findings are patched or formally accepted within 30 days; high findings within 90 days.,Hannah Briggs,Quarterly,RISK-VUL-01,active,Y,2026-02-28,2026-02-28,,
IA-canon-sc-01,ITGC-SC-01,,"Encryption in transit for ACH, wire, and core-processor files","ACH, wire, and core-processor files leaving the bank are encrypted in transit (TLS 1.2 or higher). Plaintext FTP is prohibited.",Tom Alvarez,Continuous,RISK-ENC-01,active,Y,2026-03-18,2026-03-18,,
IA-canon-sc-02,ITGC-SC-02,,Encryption at rest for core database backups,"Core database backups are encrypted at rest with keys held in the bank's key-management process, split from the backup operators.",Marcus Hale,Continuous,RISK-ENC-01,active,Y,2026-03-18,2026-03-18,,
IA-canon-sa-01,ITGC-SA-01,,Oversight of the core processor and material fintechs,"Vendor Management reviews SOC reports, financials, and concentration risk for the core processor and material fintechs at least annually, with findings reported to the steering committee.",Nora Patel,Annual,RISK-VEN-01,active,Y,2026-01-22,2026-01-22,,
IA-canon-ir-01,ITGC-IR-01,,Security incident handling and regulatory notification,"Confirmed security incidents are handled under the incident plan. Notification to the primary federal regulator and, when required, to customers follows the bank's incident-notification matrix.",Priya Nandakumar,Event-driven,RISK-IR-01,active,Y,2026-02-05,2026-02-05,,
IA-canon-ps-01,ITGC-PS-01,,Same-day collection of tokens and badges on termination,"On an employee's last day, HR notifies IT Operations and Facilities. Hardware tokens, VPN certificates, and badges are collected or revoked the same day, and a termination checklist is filed.",Elena Voss,Daily,RISK-HR-01,active,Y,2026-03-09,2026-03-09,,
IA-canon-gl-01,SOX-GL-01,,Daily proof of DDA subsidiary to the general ledger,"Deposit Operations completes a daily proof of the demand-deposit subsidiary to the general-ledger DDA control account before 10 a.m. Differences above $500 are aged, assigned an owner, and cleared within two business days. Unresolved items are reported to the Controller.",Amira Solis,Daily,RISK-GL-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-gl-02,SOX-GL-02,,Monthly balance-sheet account reconciliations,Each on-us balance-sheet account in the SOX scope is reconciled to the subsidiary or bank-owned statement by the 10th business day. Reconciliations are reviewed by a second officer who did not prepare them. Aged items over 30 days require Controller sign-off.,Amira Solis,Monthly,RISK-GL-01,active,Y,2026-04-10,2026-04-10,,
IA-canon-gl-03,SOX-GL-03,,Period-end close checklist and hold of the books,"The Controller maintains a close checklist covering subledger roll-forwards, suspense cleanup, and tax provision inputs. The general ledger is held after the checklist is complete. Subsequent entries require dual approval and are listed on the post-close entry log.",Chris Molina,Monthly,RISK-GL-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-je-01,SOX-JE-01,,Manual journal entries require preparer and approver,Manual journal entries to SOX-in-scope accounts are prepared by one accountant and approved by a second person with no ability to post the same entry. Supporting calculations are attached in the journal-entry package before posting.,Chris Molina,Daily,RISK-GL-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-je-02,SOX-JE-02,,Recurring and automatic journal-entry review,"The SOX PMO reviews the inventory of recurring and system-generated journal entries each quarter for unauthorized changes to amount, account, or schedule. Changes require a ticket and Controller approval.",David Chen,Quarterly,RISK-GL-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-ln-01,SOX-LN-01,,Quarter-end allowance for credit losses sign-off,"Credit Administration runs the CECL calculation, documents qualitative adjustments, and presents the allowance to the Allowance Committee. The Chief Credit Officer and Controller sign the quarter-end package before the books close.",Quentin Briggs,Quarterly,RISK-CECL-01,active,Y,2026-04-02,2026-04-02,,
IA-canon-ln-02,SOX-LN-02,,Charge-off approval above officer limit,Loan charge-offs above an officer's lending authority are approved by the Chief Credit Officer and reported to the Directors' Loan Committee. Charge-off codes in the core cannot be applied without the approved form.,Quentin Briggs,Event-driven,RISK-CRD-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-dep-01,SOX-DEP-01,,Exception-item and NSF decisioning dual control,"NSF, stop-pay, and large exception items are decisioned in the core by one officer and released by a second. Officers cannot decision their own accounts. Daily exception totals are balanced to the GL.",Camille Duarte,Daily,RISK-GL-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-int-01,SOX-INT-01,,Accrued interest proof for loans and deposits,Accounting proofs accrued interest receivable and payable to the core's accrual reports monthly. Variances over a documented threshold are investigated before the close.,Amira Solis,Monthly,RISK-INT-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-363-01,SOX-363-01,,Annual management assessment of ICFR,"Management prepares the Part 363 report on internal control over financial reporting, including identified material weaknesses, and presents it to the Audit Committee before filing. Supporting testing is retained in the SOX workpapers.",David Chen,Annual,RISK-GL-01,active,Y,2026-02-12,2026-02-12,,
IA-canon-363-02,SOX-363-02,,External-auditor PBC package completeness,"The SOX PMO assembles the provided-by-client package (trial balance, reconciliations, ICFR testing, legal letters) against a checklist. Missing items are logged and cleared before the auditor's fieldwork start date.",David Chen,Annual,RISK-GL-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-bsa-01,BSA-CIP-01,,Customer identification at account opening,"New consumers and entities are identified under the CIP procedure before the account is opened on the core. Name, date of birth or formation, address, and identification number are collected, and documentary or non-documentary verification is recorded. CIP exceptions require BSA Officer approval.",Leah Ortiz,Daily,RISK-BSA-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-bsa-02,BSA-OFAC-01,,OFAC screening of customers and payment messages,"New customers, periodic batch files, and outbound wires/ACH are screened against the OFAC list before the relationship or payment is completed. Potential matches are decisioned by the BSA Officer. True matches are blocked and documented.",Leah Ortiz,Continuous,RISK-OFAC-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-bsa-03,BSA-CTR-01,,Currency transaction report filing,Currency transactions aggregating over the CTR threshold in a business day are captured from teller and vault activity. CTRs are filed within the FinCEN window. Exemptions are reviewed annually.,Leah Ortiz,Daily,RISK-BSA-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-bsa-04,BSA-SAR-01,,Suspicious activity decisioning and SAR filing,"Alerts from monitoring, teller referrals, and law-enforcement requests are decisioned by BSA staff. SARs are filed within the regulatory window when activity is suspicious. The BSA Officer reports SAR volume to the Board without tipping customers.",Leah Ortiz,Event-driven,RISK-BSA-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-bsa-05,BSA-CDD-01,,CDD and beneficial-ownership refresh,Legal-entity customers provide beneficial-ownership information at opening. Higher-risk relationships are refreshed on a documented cycle. Missing or stale CDD blocks new product booking until cleared.,Leah Ortiz,Monthly,RISK-BSA-01,active,Y,2026-04-08,2026-04-08,,
IA-canon-bsa-06,BSA-IND-01,,Independent test of the BSA/AML program,"Internal Audit or a qualified independent party tests the BSA/AML program at least annually, covering CIP, OFAC, monitoring, and training. Findings are reported to the Audit Committee.",Elena Voss,Annual,RISK-BSA-01,active,Y,2026-01-20,2026-01-20,,
IA-canon-wire-01,WIRE-01,,Dual control on wire initiation and release,Wires above the documented callback threshold are entered by one employee and released by a second using separate FedLine credentials. Token holders cannot hold both roles on the same payment. A daily funds-transfer log is balanced to FedLine.,Patrick Yoon,Daily,RISK-WIRE-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-wire-02,WIRE-02,,Out-of-band callback on customer wire instructions,"Customer wire instructions received by email or online banking are confirmed by a recorded callback to a phone number on file, not a number in the request. Callbacks are documented on the wire ticket before release.",Patrick Yoon,Daily,RISK-WIRE-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-ach-01,ACH-01,,ACH file origination dual control,"Originated ACH files are generated from approved source files, balanced to the batch recap, and released by a second officer. Same-day ACH after the cutoff requires supervisor approval.",Camille Duarte,Daily,RISK-ACH-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-ach-02,ACH-02,,Unauthorized ACH return handling,"Customer claims of unauthorized ACH are logged, returned within NACHA windows, and reviewed for patterns. Repeat originators are referred to BSA.",Camille Duarte,Daily,RISK-ACH-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-crd-01,CRD-01,,Loan approval within documented authority,Loan decisions are approved by officers within the Board-approved authority matrix. Policy exceptions are listed on the exception report and ratified by the Directors' Loan Committee.,Quentin Briggs,Daily,RISK-CRD-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-crd-02,CRD-02,,Collateral exception tracking,"Missing or expired collateral (insurance, UCC, appraisal) is tracked on an exception list. Past-due items are reported to the Chief Credit Officer monthly until cured or waived.",Quentin Briggs,Monthly,RISK-CRD-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-vnd-02,VND-02,,Material fourth-party and concentration review,Vendor Management inventories fourth parties used by the core processor and material fintechs and reviews concentration risk at least annually. Findings go to the steering committee with the SOC-report review.,Nora Patel,Annual,RISK-VEN-01,active,Y,2026-02-18,2026-02-18,,
IA-canon-at-01,ITGC-AT-01,,Annual security awareness for employees with system access,"Employees with core, FedLine, or email access complete annual security-awareness training, including phishing recognition. New hires complete training within 30 days. Completions are reported to Information Security.",Priya Nandakumar,Annual,RISK-HR-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-ma-01,ITGC-MA-01,,Patch management for in-scope servers,In-scope servers are patched on a documented cycle: critical security patches within 30 days of release unless a formal exception is open. Failed patches are re-queued and reported to the CISO.,Tom Alvarez,Monthly,RISK-VUL-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-mp-01,ITGC-MP-01,,Sanitization of disks and media before reuse or vendor return,"Hard drives, tapes, and teller-equipment storage leaving the bank are wiped or destroyed under a documented procedure. Certificates of destruction are filed by Facilities.",James Whitaker,Event-driven,RISK-PHY-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-pl-01,ITGC-PL-01,,Annual information-security program report to the Board,"The CISO presents the information-security program, including significant incidents, vendor issues, and resource needs, to the Board or a designated committee at least annually.",Priya Nandakumar,Annual,RISK-IR-01,active,Y,2026-01-28,2026-01-28,,
IA-canon-ca-01,ITGC-CA-01,,Monthly control-monitoring dashboard to the CISO,"Information Security produces a monthly dashboard of failed logons, privileged use, patch exceptions, and open issues for in-scope systems. The CISO reviews and initials the dashboard.",Hannah Briggs,Monthly,RISK-LOG-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-sr-01,ITGC-SR-01,,Core-processor change and subcontracting notice,Material changes to the core processor's environment or subcontractors are reviewed by Vendor Management and IT Operations before acceptance. Unreviewed changes are logged as issues.,Nora Patel,Event-driven,RISK-VEN-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-pt-01,ITGC-PT-01,,Customer information used only for authorized bank purposes,"Customer nonpublic information is used only for the product or service the customer requested, or as permitted by the privacy notice. Extracts for vendors require a contract and least-privilege access.",Priya Nandakumar,Continuous,RISK-PII-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-au-03,ITGC-AU-03,,"Synchronized clocks on core, directory, and SIEM","Production core, Active Directory, and the SIEM synchronize to an authenticated time source. Drift beyond a documented threshold pages IT Operations.",Tom Alvarez,Continuous,RISK-LOG-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-cm-04,ITGC-CM-04,,Unused services disabled on servers that host the core,Servers that host the core and its database run only required services. Newly enabled services require a change ticket. Quarterly scans report unexpected listeners.,Tom Alvarez,Quarterly,RISK-CHG-01; RISK-VUL-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-sc-03,ITGC-SC-03,,Dual control over encryption keys for core backups,"Keys that encrypt core-database backups are generated and stored under dual control, split from backup operators. Key-ceremony logs are retained with the information-security program.",Marcus Hale,Annual,RISK-ENC-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-ir-02,ITGC-IR-02,,Annual incident-response tabletop,"Information Security runs an annual tabletop covering a core outage or customer-data event, including regulator-notification timing. Lessons learned become issues with owners and due dates.",Priya Nandakumar,Annual,RISK-IR-01,active,Y,2026-02-26,2026-02-26,,
IA-canon-cp-04,ITGC-CP-04,,Alternate-site contract and annual walkthrough,"The bank maintains a contracted alternate processing site capable of deposit posting. Business Continuity walks the site annually and confirms network, badge, and core-image readiness against the 4-hour recovery objective.",Sofia Rahman,Annual,RISK-BCP-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-pe-02,ITGC-PE-02,,After-hours computer-room access review,Facilities reviews after-hours badge events for the computer room each month. Unexplained access is referred to Information Security within two business days.,James Whitaker,Monthly,RISK-PHY-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-si-02,ITGC-SI-02,,Email gateway filtering for bank mail,Inbound and outbound bank email passes through a gateway that blocks known malware and obvious phishing. Quarantine releases require Information Security approval.,Hannah Briggs,Continuous,RISK-VUL-01,active,Y,2026-03-15,2026-03-15,,
IA-canon-ra-02,ITGC-RA-02,,Independent external network test of internet-facing systems,An independent party tests internet-facing systems at least annually. Critical findings are tracked to remediation or formal acceptance by the CISO.,Hannah Briggs,Annual,RISK-VUL-01,active,Y,2026-03-04,2026-03-04,,
